"paso","esquema","ponderacion_modelo","estrato_vecinos","n_municipios","rmse_bym2","rmse_naive","rmse_irreducible"
"AWARE_ESH","aleatorio","ponde_cal/media_municipal","0",109,0.2696,0.2809,0.1708
"AWARE_ESH","aleatorio","ponde_cal/media_municipal","1-2",272,0.2244,0.2479,0.1785
"AWARE_ESH","aleatorio","ponde_cal/media_municipal","3+",208,0.2166,0.2258,0.1554
"AWARE_ESH","contiguo","ponde_cal/media_municipal","0",427,0.2408,0.2558,0.1659
"AWARE_ESH","contiguo","ponde_cal/media_municipal","1-2",138,0.2153,0.2316,0.1797
"AWARE_ESH","contiguo","ponde_cal/media_municipal","3+",24,0.1639,0.1548,0.1663
"AWARE_AHA","aleatorio","ponde_cal/media_municipal","0",109,0.2067,0.2217,0.164
"AWARE_AHA","aleatorio","ponde_cal/media_municipal","1-2",280,0.1919,0.2234,0.1595
"AWARE_AHA","aleatorio","ponde_cal/media_municipal","3+",207,0.1925,0.2027,0.1499
"AWARE_AHA","contiguo","ponde_cal/media_municipal","0",421,0.2013,0.2208,0.1573
"AWARE_AHA","contiguo","ponde_cal/media_municipal","1-2",138,0.1866,0.2067,0.1609
"AWARE_AHA","contiguo","ponde_cal/media_municipal","3+",37,0.1667,0.1951,0.1391
"TRAT","aleatorio","ponde_cal/media_municipal","0",102,0.1994,0.2221,0.1606
"TRAT","aleatorio","ponde_cal/media_municipal","1-2",288,0.2465,0.2714,0.1577
"TRAT","aleatorio","ponde_cal/media_municipal","3+",186,0.1908,0.215,0.1375
"TRAT","contiguo","ponde_cal/media_municipal","0",491,0.2206,0.244,0.1531
"TRAT","contiguo","ponde_cal/media_municipal","1-2",71,0.2707,0.2743,0.1524
"TRAT","contiguo","ponde_cal/media_municipal","3+",14,0.1085,0.142,0.105
"CONTROL_ESH","aleatorio","ponde_cal/media_municipal","0",113,0.3069,0.3195,0.1916
"CONTROL_ESH","aleatorio","ponde_cal/media_municipal","1-2",265,0.3122,0.321,0.1907
"CONTROL_ESH","aleatorio","ponde_cal/media_municipal","3+",180,0.2513,0.2502,0.1759
"CONTROL_ESH","contiguo","ponde_cal/media_municipal","0",401,0.2976,0.3044,0.1874
"CONTROL_ESH","contiguo","ponde_cal/media_municipal","1-2",107,0.3006,0.3041,0.1906
"CONTROL_ESH","contiguo","ponde_cal/media_municipal","3+",50,0.2531,0.247,0.1664
"CONTROL_AHA","aleatorio","ponde_cal/media_municipal","0",113,0.3222,0.3135,0.1779
"CONTROL_AHA","aleatorio","ponde_cal/media_municipal","1-2",265,0.3143,0.3215,0.1846
"CONTROL_AHA","aleatorio","ponde_cal/media_municipal","3+",180,0.2557,0.264,0.1863
"CONTROL_AHA","contiguo","ponde_cal/media_municipal","0",401,0.3005,0.3051,0.184
"CONTROL_AHA","contiguo","ponde_cal/media_municipal","1-2",107,0.2982,0.3084,0.1899
"CONTROL_AHA","contiguo","ponde_cal/media_municipal","3+",50,0.2756,0.2658,0.1685
